"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"1",41769.0032600285,35856.570727682,41941.5524361021,29656.3227025117,59640.9179206549,54576.4547082549,59045.5926248974,35112.119117022,85035.419808072,77939.1359040439,84141.8270356804,49895.0637515349,45676.6210509732,42193.4081268219,45115.5954531739,26085.4572087479
"2",6395.38736223698,3240.07027328577,4080.70709662908,7880.31125168952,7508.11286555814,3996.49906926975,4930.78239336236,9551.8645496017,10026.9283251108,5040.88608433985,6368.14808724882,12299.1682554978,5975.58425244303,3398.71135313241,4078.14405090266,7944.0430756441
"3",6514.17690176219,9746.39753645319,9193.10272370819,0,6363.62835113875,8973.89470921315,8521.48248870597,0,5642.36259487578,8575.32240446666,8091.67273606448,0,6302.07629323009,8295.76144681277,7929.46390917249,0
"4",28859.4389960293,22870.1029179431,28667.7426157648,21776.0114508222,45769.176703958,41606.060929772,45593.3277428291,25560.2545674203,69366.1288880854,64322.9274152374,69682.0062123671,37595.8954960371,33398.9605053001,30498.9353268767,33107.9874930987,18141.4141331038
"5",73091.9821728129,63182.7481100998,73617.9784250152,52299.5596161868,104483.894062925,96817.3785713085,103357.501633855,61274.5551459479,157980.424057625,146821.750840016,155898.737968176,92754.1979006966,97483.3978356089,91756.1962610136,96573.1517555836,55506.2017604666
"6",12393.3394197226,5964.26322682299,7573.40340353838,14568.6266333277,13480.6542324236,6793.02631560952,8496.70556391669,16355.0817514455,19218.3447179667,9132.91028861466,11788.6757471733,22552.6261998187,12075.7935605864,6193.51499080124,7661.90011479764,14887.4910867206
"7",10647.4667523087,16344.1326523327,15474.8105073899,0,9832.06242623142,14233.7807546454,13509.0595876917,0,9377.69719840774,14884.8035518924,14110.1481995801,0,10048.8773714921,14212.2926674548,13301.1041524714,0
"8",54293.6467737207,45086.9112281271,55032.1478465241,40045.0323319127,85568.0721140499,79471.9238285928,85197.7472546517,47435.0836205096,134442.185132719,126577.756167137,134089.04745912,73852.7483001721,79070.017123638,75037.4238677895,79258.4629046092,42050.9907046905
"9",73091.9821728129,63182.7481100998,73617.9784250152,52299.5596161868,104483.894062925,96817.3785713085,103357.501633855,61274.5551459479,157980.424057625,146821.750840016,155898.737968176,92754.1979006966,97483.3978356089,91756.1962610136,96573.1517555836,55506.2017604666
"10",12393.3394197226,5964.26322682299,7573.40340353838,14568.6266333277,13480.6542324236,6793.02631560952,8496.70556391669,16355.0817514455,19218.3447179667,9132.91028861466,11788.6757471733,22552.6261998187,12075.7935605864,6193.51499080124,7661.90011479764,14887.4910867206
"11",10647.4667523087,16344.1326523327,15474.8105073899,0,9832.06242623142,14233.7807546454,13509.0595876917,0,9377.69719840774,14884.8035518924,14110.1481995801,0,10048.8773714921,14212.2926674548,13301.1041524714,0
"12",54293.6467737207,45086.9112281271,55032.1478465241,40045.0323319127,85568.0721140499,79471.9238285928,85197.7472546517,47435.0836205096,134442.185132719,126577.756167137,134089.04745912,73852.7483001721,79070.017123638,75037.4238677895,79258.4629046092,42050.9907046905
"13",41769.0032600285,35856.570727682,41941.5524361021,29656.3227025117,59640.9179206549,54576.4547082549,59045.5926248974,35112.119117022,85035.419808072,77939.1359040439,84141.8270356804,49895.0637515349,45676.6210509732,42193.4081268219,45115.5954531739,26085.4572087479
"14",5518.68573045232,2357.20529121328,3203.97726549605,6118.73013311254,6152.76633966454,2631.41710885131,3575.22971948398,6828.67000311376,8715.91862641691,3721.25307343533,5057.55352849562,9664.28580153942,4510.82477745877,1923.21912046078,2614.60585984583,4999.6532081148
"15",3233.95668664497,6455.16814980655,5902.56863854104,0,2660.22665460802,5256.99865811312,4805.90508045075,0,3670.66253890697,5786.34660915185,5305.42166283257,0,2080.33401082796,4058.29193013808,3695.06593808679,0
"16",33016.3608429312,27044.1972866622,32835.006532065,23537.5925693992,50827.9249263824,46688.0389412904,50664.4578249627,28283.4491139082,72648.8386427481,68431.5362214567,73778.8518443522,40230.7779499955,39085.4622626865,36211.8970762231,38805.9236552413,21085.8040006331
"17",17407.7198292857,15012.8967451066,17389.8991233702,12298.1040041834,27588.5402195702,24982.97813691,27544.5642460046,16659.1281518416,34077.6964062706,30946.7114645035,34403.8326314268,20588.5985172521,10183.6968875066,9386.44840997911,10210.6938663156,5934.83683630883
"18",1778.81585171427,748.51447772191,1024.46307061828,1979.12727206011,2332.84055847389,977.141768033018,1358.43754325287,2575.73499763555,2900.56415422233,1227.80393471323,1703.15915127923,3263.1014855925,862.100264437968,371.299144448783,503.404763726118,982.627384714603
"19",1158.93551466751,2345.22849831043,2108.20569593441,0,1145.38829633163,2237.17787404117,2052.51200149439,0,1337.23329491289,2116.32566639656,1945.41261704559,0,427.069841739592,860.239902980844,813.370686490718,0
"20",13566.8490597004,10819.7440250544,13388.1587573437,9682.56758194014,22860.1435070623,20264.0722189291,23089.6925493374,12938.4880088039,28512.8282782816,26185.7107027564,29223.5142212488,16037.1040342122,8649.65832657397,7785.35624731894,8649.4129044855,4697.36669810124
"21",73091.9821728129,63182.7481100998,73617.9784250152,52299.5596161868,104483.894062925,96817.3785713085,103357.501633855,61274.5551459479,157980.424057625,146821.750840016,155898.737968176,92754.1979006966,97483.3978356089,91756.1962610136,96573.1517555836,55506.2017604666
"22",11327.3293298933,4924.94100521174,6509.19029330231,12546.6141790389,12011.8818071639,5113.03015026576,6883.65329379236,13015.0831368959,17783.121493721,7607.97763560501,10353.2711836344,19591.5702258199,10424.8036723863,4338.55889127507,5938.58568903268,11454.676340583
"23",6403.6240279866,12448.157720674,11579.2547797953,0,5015.88769390383,9695.60995052272,8917.07715943534,0,7339.35471460187,11413.3794239762,10692.1130939915,0,4649.50050019164,9042.38050714689,8170.72619887121,0
"24",58588.8211879765,49204.9253516498,59297.9454022208,41898.8479636545,90418.1731769624,84319.1607751578,90282.8383598728,50688.8284727054,137390.216879858,130898.094804533,138599.76563907,76726.044604419,85210.4234008308,80773.8153602806,84638.5729394139,45405.9660982644
